07:13:50 [INFO] Opening target process: csgo.exe
07:13:50 [INFO] Starting signature scanning: 0 items
07:13:50 [INFO] Finished signature scanning: 0/0 items successful
07:13:50 [INFO] Starting netvar scanning: 0 items
07:28:56 [INFO] Opening target process: csgo.exe
07:28:56 [INFO] Starting signature scanning: 57 items
07:28:56 [INFO] Found signature: dwClientState => 0x588FEC
07:28:56 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
07:28:56 [INFO] Found signature: dwClientState_IsHLTV => 0x4D48
07:28:56 [INFO] Found signature: dwClientState_Map => 0x28C
07:28:56 [INFO] Found signature: dwClientState_MapDirectory => 0x188
07:28:56 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
07:28:56 [INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
07:28:56 [INFO] Found signature: dwClientState_State => 0x108
07:28:56 [INFO] Found signature: dwClientState_ViewAngles => 0x4D90
07:28:56 [INFO] Found signature: clientstate_delta_ticks => 0x174
07:28:56 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
07:28:56 [INFO] Found signature: clientstate_choked_commands => 0x4D30
07:28:56 [INFO] Found signature: clientstate_net_channel => 0x9C
07:28:56 [INFO] Found signature: dwEntityList => 0x4DBF78C
07:28:56 [INFO] Found signature: dwForceAttack => 0x31EFD04
07:28:56 [INFO] Found signature: dwForceAttack2 => 0x31EFD10
07:28:56 [INFO] Found signature: dwForceBackward => 0x31EFCBC
07:28:56 [INFO] Found signature: dwForceForward => 0x31EFCC8
07:28:56 [INFO] Found signature: dwForceJump => 0x52695A0
07:28:56 [INFO] Found signature: dwForceLeft => 0x31EFCE0
07:28:56 [INFO] Found signature: dwForceRight => 0x31EFCD4
07:28:56 [INFO] Found signature: dwGameDir => 0x627700
07:28:56 [INFO] Found signature: dwGameRulesProxy => 0x52DC87C
07:28:56 [INFO] Found signature: dwGetAllClasses => 0xDCDA84
07:28:56 [INFO] Found signature: dwGlobalVars => 0x588CF0
07:28:56 [INFO] Found signature: dwGlowObjectManager => 0x5307C78
07:28:56 [INFO] Found signature: dwInput => 0x5210D50
07:28:56 [INFO] Found signature: dwInterfaceLinkList => 0x956AA4
07:28:56 [INFO] Found signature: dwLocalPlayer => 0xDA544C
07:28:56 [INFO] Found signature: dwMouseEnable => 0xDAAF98
07:28:56 [INFO] Found signature: dwMouseEnablePtr => 0xDAAF68
07:28:56 [INFO] Found signature: dwPlayerResource => 0x31EE030
07:28:56 [INFO] Found signature: dwRadarBase => 0x51F4504
07:28:56 [INFO] Found signature: dwSensitivity => 0xDAAE34
07:28:56 [INFO] Found signature: dwSensitivityPtr => 0xDAAE08
07:28:56 [INFO] Found signature: dwSetClanTag => 0x8A130
07:28:56 [INFO] Found signature: dwViewMatrix => 0x4DB10A4
07:28:56 [INFO] Found signature: dwWeaponTable => 0x5211814
07:28:56 [INFO] Found signature: dwWeaponTableIndex => 0x326C
07:28:56 [INFO] Found signature: dwYawPtr => 0xDAABF8
